nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,gasto_total_par,gasto_total_gab,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
ADRIANA MIGUEL VENTURA,F,92,0,0,75,0,0,06/03/1969,"32.744,36",0%,"33.763,00","91,69","11.201,41","6,17","2.012,14","12.078,93","3.326,52","2.525,67","464,61","481,48","555,74",-,-,"46.239,34","47.876,22","45.155,54","50.501,69","47.484,47","47.810,20","53.606,39","43.951,57","36.862,01","38.831,64","0,00",-
BENEDITA SOUZA DA SILVA SAMPAIO,F,45,47,0,22,18,15,26/04/1942,"278.916,75",0.9074907055520087%,"33.763,00","27.548,63","36.708,62","32.332,80","42.904,22","38.159,47","28.769,87","17.965,43","15.365,95","9.555,15","28.558,54",-,-,"111.495,90","111.448,24","111.228,98","111.228,98","111.228,98","111.354,55","111.647,54","111.647,54","111.647,54","111.647,54","1.048,07",-
ALINE SLEUTJES,F,81,11,0,25,7,5,26/07/1979,"266.844,87",0.3716235891090571%,"33.763,00","18.718,10","42.340,70","44.589,79","62.024,69","28.504,61","25.909,67","20.829,47","10.742,51","4.466,72","8.102,19",-,-,"108.562,89","107.823,39","108.054,31","104.407,00","102.862,93","105.903,30","107.141,12","104.241,48","105.514,93","93.070,21","616,42",-
ALESSANDRA SILVA RIBEIRO,F,82,6,4,54,10,10,04/07/1974,"256.412,00",0%,"33.763,00","21.847,22","26.068,76","54.557,47","39.369,73","38.257,92","21.249,25","15.093,79","19.228,94","15.225,62","5.513,30",-,-,"73.391,76","71.163,83","70.424,23","75.507,41","71.271,43","78.795,10","74.373,30","79.377,41","79.377,41","83.691,96","0,00",-
ALINE PARANHOS VARONIL GURGEL,F,78,11,3,16,7,27,25/11/1980,"425.828,00",0%,"33.763,00","42.916,79","55.902,66","41.953,93","74.755,05","40.253,23","10.460,16","40.552,36","44.238,07","50.064,19","24.731,56",-,-,"111.429,18","111.160,99","111.429,20","111.429,20","111.429,20","111.429,20","111.429,20","111.429,20","109.688,29","108.621,49","0,00",-
ÁUREA CAROLINA DE FREITAS E SILVA,F,75,17,0,22,5,5,20/11/1983,"297.751,16",0%,"33.763,00","15.477,79","17.211,99","32.300,99","47.628,80","50.919,99","36.660,42","25.545,07","22.852,05","27.143,68","22.010,38",-,-,"110.482,87","110.320,03","111.502,08","111.502,08","111.502,08","111.499,25","111.417,08","111.417,08","111.417,08","105.478,47","0,00",-
ANGELA REGINA HEINZEN AMIN HELOU,F,88,4,0,61,1,0,20/12/1953,"335.539,85",0.11723267991294993%,"33.763,00","32.420,59","44.149,40","54.673,99","45.917,82","50.177,80","36.925,47","34.965,84","19.369,26","7.069,38","9.738,31",-,-,"108.469,01","109.010,60","110.962,23","109.111,95","109.111,95","108.914,61","107.061,71","107.061,71","107.061,71","110.877,26","131,99",-
ALICE MAZZUCO PORTUGAL,F,91,0,1,70,0,28,16/05/1959,"380.746,29",0.0844555254016234%,"33.763,00","64.843,86","35.974,10","45.630,28","44.643,22","30.967,04","33.926,95","26.133,78","37.427,88","27.482,05","33.668,90",-,-,"109.364,13","110.762,68","110.837,35","110.137,04","110.137,04","110.137,04","110.137,04","110.131,96","111.046,92","111.046,92","48,23",-
BEATRIZ KICIS TORRENTS DE SORDI,F,89,3,0,56,3,4,19/09/1961,"217.096,60",0.9198415542674443%,"33.763,00","25.190,49","25.724,28","26.105,29","29.874,33","27.799,70","15.473,15","16.116,39","14.243,78","13.146,49","22.163,74",-,-,"111.271,47","111.271,47","111.271,47","111.271,47","111.271,47","111.538,39","111.538,39","111.538,39","111.538,39","111.538,39","1.258,96",-
BRUNA DIAS FURLAN VICENTE,F,39,0,4,0,0,0,28/04/1983,"77.114,78",0.7806524503422212%,"33.763,00","12.812,15","15.234,17","17.325,26",-,"17.939,40",-,-,"283,61","5.769,80","6.302,20",-,-,"102.008,81","103.337,22","104.665,63","89.553,78","85.126,66","105.191,41","111.416,96","104.020,17","87.826,95","93.579,66","1.448,19",-
CARLA ZAMBELLI SALGADO DE OLIVEIRA,F,79,12,1,10,5,12,03/07/1980,"275.642,88",0.7371753897902744%,"33.763,00","35.310,53","32.694,44","28.196,83","51.011,16","21.729,23","22.816,95","21.987,75","14.571,57","14.918,40","31.400,35",-,-,"111.549,61","111.299,27","110.215,67","108.206,27","105.302,52","105.657,79","108.726,99","111.400,84","111.665,78","111.665,78","1.005,67",-
HILKEA CARLA DE SOUZA MEDEIROS LIMA,F,91,0,1,62,0,5,02/07/1976,"321.096,04",0.33545606084529084%,"33.763,00","24.586,19","44.761,07","52.267,87","38.231,83","31.382,92","32.701,13","15.878,04","19.847,11","20.700,30","40.204,82",-,-,"111.271,39","111.271,39","111.271,39","111.271,39","111.271,39","110.132,42","111.538,26","111.238,30","111.538,26","111.538,26","534,76",-
CARMEN EMÍLIA BONFÁ ZANOTTO,F,92,0,0,62,0,15,06/10/1962,"239.101,91",0%,"33.763,00","15.385,24","28.801,18","31.514,98","35.066,26","30.373,86","31.040,14","26.674,03","14.544,84","11.565,37","14.136,01",-,-,"101.754,20","102.247,05","101.219,81","102.930,96","102.930,96","101.603,76","86.458,75","91.918,18","92.236,93","97.802,61","0,00",-
CAROLINE RODRIGUES DE TONI,F,91,0,1,45,1,11,01/09/1986,"108.667,23",0.6264811842939225%,"33.763,00","1.577,63","10.066,51","14.101,09","24.174,38","11.285,98","15.473,46","14.468,42","7.103,83","3.096,89","5.223,46",-,-,"84.266,39","86.627,52","88.148,33","96.367,63","92.593,08","96.367,63","93.146,11","92.800,95","92.800,95","87.409,42","2.095,58",-
CHRISTINE NOGUEIRA DOS REIS TONIETTO,F,88,2,2,59,4,6,14/05/1991,"133.178,31",0.13920148059791201%,"33.763,00","11.369,60","10.173,11","9.970,30","12.050,51","13.872,46","19.466,91","25.628,43","11.169,95","3.255,31","15.855,62",-,-,"69.040,75","69.101,84","69.101,84","76.266,55","71.632,90","85.504,27","88.597,50","88.597,50","88.597,50","82.910,48","366,11",-
CELINA LEAO HIZIM FERREIRA,F,71,2,19,18,1,23,02/03/1977,"101.582,40",0%,"33.763,00","1.190,04","11.101,64","13.853,72","17.835,36","18.215,77","15.949,33","14.392,13","6.642,14","2.402,27","0,00",-,-,"110.531,62","110.840,11","110.489,74","110.401,05","109.406,57","109.266,63","109.432,72","110.798,51","110.798,51","110.798,51","0,00",-
CHRISTIANE DE SOUZA YARED,F,83,9,0,27,6,5,23/02/1960,"330.359,44",0.8946803741724237%,"33.763,00","23.957,30","44.324,43","35.762,57","41.149,82","54.189,41","32.246,76","23.122,06","18.987,00","15.446,67","40.295,66",-,-,"108.772,44","108.772,44","108.772,44","108.366,22","108.772,44","104.176,55","111.586,94","111.586,94","111.586,94","108.683,92","877,76",-
CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,F,86,0,6,37,0,14,02/07/1982,"297.350,01",0.11819028073675199%,"33.763,00","7.971,69","16.907,30","54.747,61","57.969,92","49.861,80","53.352,84","20.869,99","15.804,77","9.631,78","10.118,65",-,-,"110.918,38","110.319,03","110.945,19","111.532,21","111.532,21","111.532,21","111.532,21","111.532,21","111.532,21","111.532,21","113,66",-
DANIELA MOTE DE SOUZA CARNEIRO,F,80,10,2,42,9,9,10/02/1976,"309.318,38",0.03126056813584596%,"33.763,00","35.968,58","36.604,61","48.540,64","50.236,04","61.049,56","27.308,97","20.808,56","13.155,35","11.253,04","4.366,75",-,-,"111.004,43","110.578,75","110.970,40","111.234,95","111.234,95","111.234,95","111.234,95","110.155,05","109.870,15","100.152,27","26,28",-
VANDA DENIR MILANI NOGUEIRA,F,72,13,7,31,11,22,17/09/1953,"395.931,24",0%,"33.763,00","45.066,55","49.027,62","29.462,19","71.009,98","36.127,46","22.618,07","41.106,51","44.816,37","25.900,00","30.796,49",-,-,"109.028,91","110.980,61","111.507,90","111.544,28","109.468,16","110.383,90","111.280,73","111.580,69","111.580,69","106.487,76","0,00",-
SORAYA DE SOUZA MANNATO,F,92,0,0,111,0,64,10/03/1961,"279.649,17",0%,"33.763,00","31.353,75","37.397,79","57.239,48","43.635,09","36.607,77","15.176,75","23.098,74","18.128,98","8.706,64","8.304,18",-,-,"111.501,77","111.501,77","110.559,03","110.920,06","110.173,36","110.221,10","107.709,88","107.907,12","109.518,27","110.809,89","0,00",-
DULCE FERREIRA PAGANI MIRANDA,F,84,8,0,78,11,8,15/12/1963,"385.152,20",0.27676009614996716%,"33.763,00","17.405,28","54.422,42","66.007,20","48.597,93","43.629,27","16.964,63","42.936,18","44.081,35","12.900,31","38.029,26",-,-,"111.515,73","108.469,11","109.947,21","110.497,62","108.778,45","110.780,17","110.780,17","110.780,17","110.297,33","110.780,17","178,37",-
EDNACE ALVES SILVESTRE HENRIQUE,F,52,9,1,13,7,6,04/09/1958,"245.404,75",0.3218109167777381%,"33.763,00",-,-,-,"41.564,86","21.722,42","44.584,53","40.428,22","32.338,39","34.109,42","30.426,91",-,-,"110.222,29","107.865,76","109.797,12","111.512,59","111.663,63","111.590,85","111.590,85","111.590,85","111.590,85","111.590,85","230,00",-
ROSANA DE OLIVEIRA VALLE,F,87,3,2,44,2,2,08/05/1969,"337.897,50",0.30367374693701266%,"33.763,00","21.183,33","29.131,46","53.484,17","41.134,85","52.840,25","34.551,95","41.195,46","30.158,94","20.867,06","13.125,31",-,-,"107.098,26","107.098,26","107.098,26","100.284,96","107.098,26","91.133,79","106.579,32","107.632,04","109.901,08","106.206,39","224,72",-
ROSANGELA DE SOUZA GOMES,F,77,15,0,2,0,0,27/12/1966,"326.569,14",0.2824884061956645%,"33.763,00","35.619,36","53.038,08","41.099,12","40.356,20","30.910,68","24.832,33","27.594,88","28.932,93","13.329,32","30.667,03",-,-,"111.495,87","111.495,87","111.495,87","111.495,87","111.495,87","111.495,87","111.495,87","111.495,87","111.495,87","111.495,87","189,21",-
SHÉRIDAN ESTÉRFANY OLIVEIRA RAMOS,F,53,35,4,0,0,3,11/04/1984,"403.635,64",3.570931482041396%,"33.763,00","47.717,67","50.310,81","47.454,50","41.030,40","20.489,75","35.713,64","41.489,54","36.464,07","37.465,47","41.866,90",-,-,"104.351,76","98.699,47","100.259,52","99.170,39","100.363,57","111.192,45","104.911,24","108.772,24","109.791,30","108.036,70","3.632,89",-
ROSIANE MODESTO  DE OLIVEIRA,F,77,9,6,0,0,4,20/02/1978,"201.387,81",1.3982839881492541%,"33.763,00","16.532,25","28.174,06","22.572,80","28.108,83","28.359,47","26.531,02","14.867,91","6.958,44","8.464,46","17.350,10",-,-,"109.718,66","110.767,63","111.653,67","109.880,49","111.653,67","109.891,34","111.617,27","97.483,92","90.265,59","93.489,86","3.468,47",-
SAMIA DE SOUZA BOMFIM,F,78,14,0,32,0,3,22/08/1989,"320.776,66",4.41003781938183%,"33.763,00","29.863,31","33.173,07","52.100,08","49.527,82","33.373,57","25.800,86","31.637,36","25.034,27","10.727,26","25.539,06",-,-,"101.425,05","108.439,14","108.239,71","110.257,66","106.353,47","110.871,10","110.871,10","110.871,10","110.871,10","110.871,10","4.000,00",-
RENATA HELLMEISTER DE ABREU,F,48,14,0,5,10,18,15/04/1982,"208.238,76",3.1624240468655147%,"33.763,00","31.109,86","32.113,25","42.089,94","42.896,72","31.671,65","3.728,86",-,-,-,"22.911,39",-,-,"96.622,36","104.075,25","110.440,45","108.188,68","106.841,60","109.718,62","106.018,07","110.109,96","110.476,84","110.575,46","1.717,09",-
SILVIA CRISTINA AMANCIO CHAGAS,F,89,2,1,55,5,31,15/01/1974,"325.913,39",1.6790006432904458%,"33.763,00","38.497,24","41.381,49","41.593,07","77.841,57","52.095,78","30.489,93","21.356,30","8.189,34","4.412,39","7.253,38",-,-,"111.374,48","110.870,15","110.767,11","111.247,85","111.370,23","111.259,60","111.526,12","111.514,99","111.410,91","111.315,81","2.802,90",-
SORAYA ALENCAR DOS SANTOS,F,90,2,0,29,0,16,04/12/1958,"247.439,60",0.1421390974735519%,"33.763,00","30.377,64","25.882,69","44.839,17","18.501,89","32.605,66","34.461,17","25.720,88","19.262,46","5.904,46","9.654,69",-,-,"109.912,12","110.159,23","104.418,43","108.917,92","104.366,11","108.917,92","109.011,86","110.852,93","110.852,93","110.852,93","228,89",-
TABATA CLAUDIA AMARAL DE PONTES,F,88,1,3,137,0,9,14/11/1993,"284.592,20",0.013764983370411982%,"33.763,00","38.950,69","27.888,06","35.331,21","49.942,23","32.068,77","49.334,59","25.146,00","5.016,41","3.076,08","17.821,14",-,-,"90.049,89","91.799,32","91.532,51","102.729,84","93.743,68","100.032,77","52.077,47","38.232,71","30.268,49","54.265,68","17,02",-
TALIRIA PETRONE SOARES,F,76,14,2,27,19,32,09/04/1985,"273.733,18",0.46673798861321975%,"33.763,00","35.801,22","32.189,96","31.865,89","29.413,08","45.403,28","37.323,98","24.098,94","23.355,39","10.439,80","3.279,24",-,-,"111.647,51","111.647,51","111.647,51","111.584,31","111.555,29","111.647,53","111.647,53","110.216,76","111.417,00","111.276,31","562,40",-
TEREZA NELMA DA SILVA PORTO VIANA SOARES,F,79,13,0,103,49,36,07/10/1957,"366.423,07",4.679154941480419%,"33.763,00","42.581,54","41.297,61","47.878,77","56.885,66","54.271,73","33.460,03","30.126,11","27.479,91","24.726,16","3.330,45",-,-,"111.471,49","109.973,66","109.423,19","109.422,19","109.733,42","104.705,24","109.483,86","110.785,88","110.860,47","110.833,78","4.385,10",-
TEREZA CRISTINA CORREA DA COSTA DIAS,F,63,2,4,59,1,6,06/07/1954,"152.145,45",2.5404459303546973%,"33.763,00",-,-,"0,04","17.413,02","21.629,55","24.574,99","29.064,98","17.058,41","14.118,74","23.763,02",-,-,"0,00","0,00","1.279,50","104.538,87","71.166,60","108.750,39","111.222,82","102.614,06","93.234,05","89.798,37","4.522,70",-
VIVIANE DA COSTA REIS,F,81,11,0,79,18,21,05/08/1991,"364.896,71",0.2883976337559274%,"33.763,00","50.505,11","33.624,12","47.121,22","38.398,45","42.779,32","36.910,98","40.803,83","27.107,07","21.698,14","25.660,38",-,-,"111.413,83","111.501,88","108.988,28","110.684,14","109.564,43","111.041,26","111.423,00","111.423,00","111.423,00","111.423,00","288,09",-
LUIZA ERUNDINA DE SOUSA,F,78,14,0,37,9,14,30/11/1934,"222.485,05",0.12376787745005699%,"33.763,00","17.316,28","17.369,22","13.312,38","49.196,58","23.549,05","41.316,33","41.450,36","18.601,72","126,15","0,00",-,-,"106.370,19","98.801,78","96.737,67","96.737,67","96.737,67","96.737,67","96.737,67","96.737,67","96.737,67","102.137,42","246,98",-
